IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
193.122.107.147,443,443,TRUE,Seoul,Asia Pacific,Seoul,62 ms,18639 kB/s
168.138.162.187,443,443,TRUE,Singapore,Asia Pacific,Singapore,261 ms,16607 kB/s
131.186.33.175,443,443,TRUE,Tokyo,Asia Pacific,Tokyo,116 ms,14382 kB/s
152.67.212.141,443,443,TRUE,Seoul,Asia Pacific,Seoul,126 ms,13080 kB/s
134.65.59.100,443,443,TRUE,London,Europe,London,315 ms,5765 kB/s
192.18.159.129,443,443,TRUE,Toronto,North America,Toronto,268 ms,4302 kB/s
130.162.184.173,443,443,TRUE,London,Europe,London,315 ms,4043 kB/s
47.251.54.234,8443,8443,TRUE,San Jose,North America,San Jose,214 ms,8812 kB/s
193.122.1.0,8443,8443,TRUE,Frankfurt,Europe,Frankfurt,305 ms,8147 kB/s
141.144.198.113,8443,8443,TRUE,Amsterdam,Europe,Amsterdam,265 ms,6905 kB/s
141.148.242.113,8443,8443,TRUE,Amsterdam,Europe,Amsterdam,304 ms,5959 kB/s
150.230.20.156,8443,8443,TRUE,Amsterdam,Europe,Amsterdam,314 ms,5864 kB/s
144.24.169.81,8443,8443,TRUE,Frankfurt,Europe,Frankfurt,292 ms,5780 kB/s
152.70.59.90,8443,8443,TRUE,Amsterdam,Europe,Amsterdam,303 ms,5634 kB/s
130.61.181.61,8443,8443,TRUE,Frankfurt,Europe,Frankfurt,308 ms,5593 kB/s
158.101.199.249,8443,8443,TRUE,Amsterdam,Europe,Amsterdam,308 ms,5408 kB/s
8.211.195.135,8443,8443,TRUE,London,Europe,London,323 ms,5342 kB/s
141.147.85.167,8443,8443,TRUE,London,Europe,London,311 ms,5253 kB/s
158.101.169.13,8443,8443,TRUE,Frankfurt,Europe,Frankfurt,306 ms,5226 kB/s
130.162.226.138,8443,8443,TRUE,Frankfurt,Europe,Frankfurt,309 ms,5192 kB/s
144.24.161.142,8443,8443,TRUE,Frankfurt,Europe,Frankfurt,260 ms,5030 kB/s
8.208.11.119,8443,8443,TRUE,London,Europe,London,320 ms,4813 kB/s
